"year","aemclass_2023","sex","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","10-14","15-19","20-24","25-29","NA","0-4","5-9","70-74","75-79","80-99"
"2018","c","F",27,15,26,12,4,4,NA,2,NA,7,11,11,NA,NA,4,1,NA,NA
"2018","c","M",677,320,131,79,30,13,4,5,1,24,339,834,NA,2,2,2,1,NA
"2018","cebu city","F",12,9,7,6,2,1,NA,NA,1,NA,19,18,NA,NA,NA,NA,NA,NA
"2018","cebu city","M",267,163,79,48,31,13,3,3,1,14,138,364,2,1,1,NA,1,NA
"2018","cebu province","F",5,2,3,2,1,1,1,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA
"2018","cebu province","M",164,84,32,16,12,4,2,1,NA,9,84,207,1,3,NA,NA,NA,NA
"2018","ncr","F",54,44,34,22,11,17,4,4,2,11,29,56,NA,3,1,2,1,NA
"2018","ncr","M",3963,2524,1055,579,297,135,59,16,2,121,1404,3443,37,12,8,9,2,NA
"2018","Total","-",9324,5411,2295,1237,680,300,152,59,11,374,4126,9406,96,38,36,26,6,1
"2019","(no data on location)","F",NA,4,2,2,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"2019","(no data on location)","M",24,25,11,12,11,9,7,1,NA,1,3,2,1,NA,NA,2,NA,NA
"2019","a","F",75,41,33,22,18,17,9,3,1,13,53,94,NA,4,8,4,NA,NA
"2019","a","M",3124,1812,757,352,224,106,42,15,3,134,1506,3182,43,8,8,8,2,1
"2019","angeles","F",10,6,6,NA,2,NA,NA,NA,NA,1,6,7,NA,NA,NA,NA,NA,NA
"2019","angeles","M",79,52,17,9,8,6,NA,1,NA,5,44,85,NA,NA,1,2,NA,NA
"2019","b","F",55,32,27,19,19,7,7,1,1,8,26,59,NA,2,7,NA,NA,NA
"2019","b","M",2109,1081,443,202,110,33,25,11,2,67,1017,2206,10,5,8,4,1,NA
"2019","c","F",25,19,24,11,8,6,1,2,2,10,20,22,NA,1,4,NA,NA,NA
"2019","c","M",967,459,201,107,36,21,6,6,1,27,450,1124,NA,2,3,1,1,NA
"2019","cebu city","F",19,12,4,7,3,1,NA,NA,1,NA,21,30,NA,NA,1,NA,NA,NA
"2019","cebu city","M",380,213,103,83,48,11,7,1,1,12,163,403,3,1,1,NA,NA,NA
"2019","cebu province","F",10,4,1,4,1,1,NA,NA,NA,1,5,13,NA,NA,1,NA,NA,NA
"2019","cebu province","M",255,119,52,32,21,5,7,1,NA,10,129,274,NA,2,NA,NA,NA,NA
"2019","ncr","F",70,55,38,26,17,18,5,2,1,8,38,72,7,5,5,3,1,NA
"2019","ncr","M",4763,3214,1414,657,420,172,75,24,6,137,1811,3967,97,14,12,8,2,NA
"2019","Total","-",11965,7148,3133,1545,947,414,192,69,19,434,5292,11541,161,44,59,33,7,1
