"year","aemclass_2023","sex","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","10-14","15-19","20-24","25-29","0-4","5-9","70-74","75-79","80-99","NA"
"2018","c","F",25,14,25,12,4,3,NA,2,NA,4,9,8,NA,4,1,NA,NA,NA
"2018","c","M",613,290,120,65,28,12,4,2,1,21,294,756,2,2,2,NA,NA,NA
"2018","cebu city","F",10,7,7,5,1,1,NA,NA,1,NA,15,12,NA,NA,NA,NA,NA,NA
"2018","cebu city","M",212,134,60,36,28,9,2,2,NA,11,98,291,1,1,NA,NA,NA,1
"2018","cebu province","F",4,2,3,1,1,1,1,NA,NA,NA,2,9,NA,NA,NA,NA,NA,NA
"2018","cebu province","M",140,70,30,13,11,3,1,1,NA,6,62,176,2,NA,NA,NA,NA,1
"2018","ncr","F",47,41,33,21,11,17,4,3,2,10,26,51,3,1,2,NA,NA,NA
"2018","ncr","M",3703,2381,996,550,280,133,57,15,2,113,1280,3224,10,6,9,1,NA,34
"2018","Total","-",8417,4944,2102,1137,624,284,139,46,10,332,3600,8391,27,26,26,2,NA,83
"2019","(no data on location)","F",NA,4,2,2,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"2019","(no data on location)","M",22,24,11,11,11,9,7,1,NA,1,3,2,NA,NA,2,NA,NA,1
"2019","a","F",73,38,32,21,16,17,7,3,1,11,47,93,3,5,4,NA,NA,NA
"2019","a","M",2876,1684,706,335,213,102,36,14,2,119,1372,2928,5,8,7,2,1,23
"2019","angeles","F",10,6,5,NA,2,NA,NA,NA,NA,1,6,7,NA,NA,NA,NA,NA,NA
"2019","angeles","M",73,48,17,9,7,4,NA,1,NA,4,42,83,NA,1,2,NA,NA,NA
"2019","b","F",49,29,24,18,16,6,7,1,1,5,22,53,2,6,NA,NA,NA,NA
"2019","b","M",1965,1007,412,185,98,31,25,10,1,60,921,2022,4,5,3,1,NA,6
"2019","c","F",24,17,23,10,8,6,1,2,1,10,17,21,1,4,NA,NA,NA,NA
"2019","c","M",882,420,184,98,32,19,6,5,1,20,410,1001,1,2,1,1,NA,NA
"2019","cebu city","F",17,7,3,6,3,NA,NA,NA,1,NA,16,25,NA,1,NA,NA,NA,NA
"2019","cebu city","M",310,171,92,69,36,9,7,1,NA,8,127,308,NA,NA,NA,NA,NA,2
"2019","cebu province","F",8,2,1,4,1,1,NA,NA,NA,1,3,9,NA,1,NA,NA,NA,NA
"2019","cebu province","M",198,94,40,24,19,5,6,1,NA,8,93,206,2,NA,NA,NA,NA,NA
"2019","ncr","F",66,52,34,24,16,17,5,2,1,6,30,65,5,4,3,1,NA,7
"2019","ncr","M",4406,2990,1320,602,388,161,68,23,6,122,1600,3609,11,7,8,1,NA,82
"2019","Total","-",10979,6593,2906,1418,867,388,176,65,15,376,4709,10433,34,44,31,6,1,121
"2020","(no data on location)","F",NA,3,2,NA,2,2,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"2020","(no data on location)","M",18,22,11,12,9,10,7,1,NA,1,1,2,NA,NA,2,NA,NA,2
"2020","a","F",102,57,41,26,21,21,9,4,1,9,55,101,1,3,3,1,NA,1
"2020","a","M",3338,2006,923,391,245,128,47,17,6,90,1353,3175,10,6,8,2,1,26
"2020","angeles","F",14,4,8,3,1,NA,NA,NA,NA,1,3,11,NA,NA,NA,NA,NA,NA
"2020","angeles","M",94,60,20,9,7,3,3,1,NA,1,50,80,NA,1,2,NA,NA,NA
"2020","b","F",80,41,36,21,21,10,10,3,2,8,50,73,6,6,NA,NA,NA,2
"2020","b","M",2306,1221,551,226,110,49,22,9,2,64,968,2172,3,6,5,NA,NA,12
"2020","c","F",29,28,30,18,11,5,3,NA,1,5,12,30,3,3,NA,NA,NA,NA
"2020","c","M",1036,512,233,91,49,24,4,4,1,13,414,1095,3,3,1,2,NA,2
"2020","cebu city","F",20,12,5,7,2,1,NA,NA,NA,NA,7,27,NA,1,NA,NA,NA,5
"2020","cebu city","M",430,218,132,80,39,19,9,NA,NA,3,132,350,1,NA,NA,NA,NA,6
"2020","cebu province","F",13,7,5,2,2,1,1,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA
"2020","cebu province","M",237,130,64,26,15,5,5,5,NA,8,117,244,1,1,NA,NA,NA,2
"2020","ncr","F",96,65,41,37,18,17,8,2,3,8,40,86,1,5,2,NA,NA,2
"2020","ncr","M",4500,3402,1597,649,456,176,89,25,6,84,1469,3495,4,7,10,1,NA,78
"2020","Total","-",12313,7788,3699,1598,1008,471,219,72,22,295,4676,10952,33,42,34,6,1,138
"2021","(no data on location)","F",NA,3,NA,1,3,2,1,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"2021","(no data on location)","M",17,28,17,12,8,12,6,3,NA,1,1,2,NA,NA,1,1,NA,NA
"2021","a","F",116,64,41,38,27,21,14,6,3,7,48,116,8,4,1,2,1,NA
"2021","a","M",3783,2494,1242,460,295,167,48,28,7,127,1498,3380,6,11,8,2,1,9
"2021","angeles","F",13,12,9,1,1,1,NA,NA,NA,1,5,12,NA,NA,NA,NA,NA,NA
"2021","angeles","M",116,82,34,16,6,5,4,2,NA,5,55,104,NA,1,2,NA,NA,NA
"2021","b","F",106,61,34,29,24,15,9,4,3,10,50,84,7,6,NA,NA,NA,NA
"2021","b","M",2866,1701,778,315,147,67,29,12,3,68,1126,2554,4,6,9,NA,NA,3
"2021","c","F",23,36,30,25,12,6,2,1,1,NA,18,37,2,3,1,NA,NA,NA
"2021","c","M",1354,713,324,129,61,35,8,4,3,19,456,1314,1,7,3,4,1,1
"2021","cebu city","F",18,17,10,12,5,4,NA,NA,NA,2,5,20,NA,2,NA,NA,NA,NA
"2021","cebu city","M",500,256,133,79,38,19,6,NA,NA,2,123,343,NA,NA,1,NA,NA,2
"2021","cebu province","F",14,12,3,4,2,1,NA,1,NA,1,3,21,NA,NA,NA,NA,NA,NA
"2021","cebu province","M",297,170,82,30,16,7,6,1,NA,12,153,303,1,NA,1,1,NA,NA
"2021","ncr","F",105,97,52,36,30,17,9,3,3,16,50,104,4,6,4,NA,NA,NA
"2021","ncr","M",5199,4128,2099,815,540,245,114,40,5,120,1646,4125,7,12,13,4,NA,19
"2021","Total","-",14527,9874,4888,2002,1215,624,256,107,28,391,5237,12520,40,58,44,15,3,34
"2022","(no data on location)","F",NA,1,2,NA,4,2,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"2022","(no data on location)","M",11,28,25,15,6,15,9,3,NA,1,NA,3,NA,NA,1,1,NA,NA
"2022","a","F",159,85,67,49,34,28,12,8,8,11,68,150,10,10,3,3,NA,NA
"2022","a","M",5088,3428,1723,632,392,203,68,37,7,191,2106,4497,7,12,6,6,1,2
"2022","angeles","F",15,11,13,2,1,1,NA,NA,NA,1,2,15,NA,NA,NA,NA,NA,NA
"2022","angeles","M",146,103,48,20,9,7,4,1,NA,13,81,133,2,1,1,3,NA,NA
"2022","b","F",135,91,46,35,23,22,7,7,5,19,73,106,9,11,1,NA,NA,NA
"2022","b","M",3804,2437,1109,424,216,98,31,17,7,127,1523,3476,2,8,10,1,NA,1
"2022","c","F",53,50,29,35,13,8,3,1,2,1,24,52,3,5,1,1,NA,NA
"2022","c","M",1903,1054,456,168,90,48,17,6,3,44,634,1801,4,6,6,3,2,NA
"2022","cebu city","F",36,20,22,10,6,3,1,1,1,1,9,43,NA,NA,NA,NA,NA,NA
"2022","cebu city","M",678,409,235,110,57,40,13,1,1,3,155,472,NA,1,1,NA,NA,NA
"2022","cebu province","F",26,18,5,5,5,1,1,1,NA,NA,6,24,NA,1,NA,NA,NA,NA
